Date	1931	1932	1933	1934	1935	1936
2016-11-27	"9,000"	"9,000"	"11,000"	"9,000"	"9,000"	"10,500"
2016-11-28	"9,000"	"9,000"	"10,500"	"9,000"	"9,000"	"11,000"
2016-11-29	"9,000"	"9,500"	"10,000"	"9,000"	"9,000"	"10,500"
2016-11-30	"12,000"	"12,000"	"12,500"	"12,000"	"12,000"	"13,500"
2016-12-01	"12,000"	"12,000"	"13,000"	"12,000"	"12,000"	"13,500"
2016-12-02	"12,000"	"12,000"	"13,000"	"12,000"	"12,000"	"13,500"
2016-12-03	"12,000"	"12,500"	"13,000"	"12,000"	"12,000"	"13,500"
2016-12-04	"12,500"	"14,000"	"13,000"	"12,500"	"12,000"	"13,000"
2016-12-05	"12,500"	"14,500"	"13,000"	"13,000"	"12,000"	"12,500"
2016-12-06	"12,500"	"14,500"	"13,000"	"13,500"	"12,000"	"12,500"
2016-12-07	"12,500"	"14,500"	"12,500"	"13,500"	"12,000"	"12,500"
2016-12-08	"13,000"	"14,500"	"12,500"	"13,000"	"12,000"	"12,500"
2016-12-09	"13,000"	"14,000"	"12,000"	"12,500"	"12,000"	"13,000"
2016-12-10	"13,000"	"14,000"	"12,000"	"12,500"	"12,000"	"13,500"
2016-12-11	"12,500"	"14,500"	"12,000"	"12,000"	"12,000"	"12,500"
2016-12-12	"12,500"	"14,000"	"12,500"	"12,000"	"12,000"	"12,000"
2016-12-13	"12,000"	"13,500"	"13,500"	"12,000"	"12,000"	"12,000"
2016-12-14	"12,500"	"13,000"	"14,000"	"12,000"	"12,000"	"12,000"
2016-12-15	"13,000"	"13,000"	"14,000"	"12,000"	"12,000"	"12,000"
2016-12-16	"13,500"	"12,500"	"14,000"	"12,000"	"12,000"	"12,000"
2016-12-17	"13,000"	"12,500"	"13,500"	"12,000"	"12,500"	"12,000"
2016-12-18	"13,000"	"12,500"	"13,500"	"12,000"	"12,500"	"12,000"
2016-12-19	"12,500"	"12,500"	"13,000"	"12,000"	"13,000"	"12,000"
2016-12-20	"12,500"	"12,500"	"13,000"	"12,000"	"13,000"	"12,000"
2016-12-21	"12,500"	"12,000"	"13,000"	"12,000"	"13,500"	"12,382"
2016-12-22	"12,500"	"12,000"	"13,000"	"12,000"	"14,000"	"12,382"
2016-12-23	"12,500"	"12,000"	"12,500"	"12,000"	"14,000"	"12,000"
2016-12-24	"12,000"	"12,500"	"12,500"	"12,500"	"14,000"	"12,000"
2016-12-25	"12,000"	"12,000"	"13,000"	"12,500"	"14,000"	"12,000"
2016-12-26	"12,000"	"12,000"	"13,000"	"12,500"	"14,000"	"12,000"
2016-12-27	"12,000"	"12,000"	"13,000"	"12,500"	"14,000"	"12,000"
2016-12-28	"12,000"	"12,000"	"13,000"	"12,500"	"14,000"	"12,000"
2016-12-29	"12,000"	"12,000"	"13,000"	"12,000"	"13,500"	"12,000"
2016-12-30	"12,000"	"12,500"	"13,000"	"12,000"	"13,000"	"12,000"
2016-12-31	"12,000"	"12,000"	"12,500"	"12,000"	"13,000"	"12,000"
